Car_Make,Car_Model,Year,Kms_Driven,Engine_Oil_Change,Brake_Pad_Change,Transmission_Fluid_Change,Tire_Rotation,Spark_Plug_Change,Maintenance_Required
Maruti,Suzuki Alto,2008,30000,25000,40000,60000,30000,45000,Absence
Hyundai,i10,2010,35000,30000,45000,65000,35000,50000,Absence
Tata,Indica,2012,40000,35000,50000,70000,40000,55000,Absence
Honda,City,2015,45000,40000,55000,75000,45000,60000,Absence
Maruti,Suzuki Swift,2017,50000,45000,60000,80000,50000,65000,Absence
Hyundai,Creta,2019,55000,50000,65000,85000,55000,70000,Absence
Tata,Nexon,2021,60000,55000,70000,90000,60000,75000,Absence
Honda,Amaze,2023,65000,60000,75000,95000,65000,80000,Presence
Maruti,Suzuki Alto,2008,5000,5000,10000,20000,10000,15000,Absence
Hyundai,i10,2010,8000,7000,12000,22000,12000,17000,Absence
Tata,Indica,2012,10000,8000,15000,25000,13000,20000,Absence
Honda,City,2014,12000,10000,18000,28000,15000,22000,Absence
Maruti,Suzuki Swift,2016,15000,12000,20000,30000,18000,25000,Absence
Hyundai,Creta,2018,18000,15000,25000,35000,20000,28000,Absence
Tata,Harrier,2020,20000,18000,30000,40000,23000,30000,Absence
Honda,Amaze,2022,22000,20000,35000,45000,25000,32000,Absence
Maruti,Suzuki BaleAbsence,2023,25000,22000,38000,50000,28000,35000,Presence
Hyundai,Venue,2020,20000,18000,30000,40000,23000,30000,Presence
Tata,Altroz,2019,19000,17000,28000,38000,21000,27000,Presence
Honda,Wrv,2017,16000,14000,23000,33000,17000,24000,Presence
Maruti,Suzuki Dzire,2015,14000,12000,20000,30000,15000,22000,Presence
Hyundai,Santro,2013,11000,9000,16000,26000,13000,19000,Presence
Tata,Tigor,2011,9000,7000,12000,22000,10000,16000,Presence
Honda,Jazz,2009,6000,5000,10000,20000,8000,13000,Presence
Maruti,Suzuki Alto,2008,5000,3000,15000,20000,10000,25000,Presence
Hyundai,i10,2010,8000,5000,20000,25000,12000,30000,Presence
Tata,Indica,2012,10000,6000,25000,30000,15000,35000,Presence
Honda,City,2014,12000,7000,30000,35000,18000,40000,Presence
Maruti,Swift,2016,15000,8000,35000,40000,20000,45000,Presence
Hyundai,Creta,2018,18000,9000,40000,45000,22000,50000,Presence
Tata,Harrier,2020,20000,10000,45000,50000,25000,55000,Presence
Honda,Civic,2022,22000,11000,50000,55000,28000,60000,Presence
Maruti,BaleAbsence,2023,25000,12000,55000,60000,30000,65000,Presence
Maruti,Suzuki Alto,2010,25000,5000,20000,40000,15000,30000,Absence
Hyundai,i10,2012,30000,6000,25000,45000,18000,35000,Absence
Tata,NaAbsence,2014,20000,4000,18000,35000,12000,28000,Absence
Mahindra,Scorpio,2011,40000,8000,30000,50000,25000,45000,Absence
Honda,City,2015,35000,7000,28000,48000,20000,40000,Absence
Maruti,Suzuki Swift,2008,30000,15000,30000,60000,45000,60000,Absence
Honda,City,2010,45000,20000,40000,70000,50000,70000,Absence
Hyundai,i20,2012,60000,25000,50000,80000,60000,80000,Absence
Tata,Nexon,2014,75000,30000,60000,90000,75000,90000,Absence
Ford,EcoSport,2016,90000,35000,70000,100000,90000,100000,Absence
Maruti,BaleAbsence,2018,105000,40000,80000,110000,105000,110000,Absence
Hyundai,Creta,2020,120000,45000,90000,120000,120000,120000,Absence
Tata,Harrier,2022,135000,50000,100000,130000,135000,130000,Absence
Honda,Amaze,2023,150000,55000,110000,140000,150000,140000,Presence
Maruti,Suzuki Alto,2008,5000,5000,15000,30000,10000,25000,Presence
Hyundai,i10,2010,8000,7000,18000,32000,12000,28000,Presence
Tata,NaAbsence,2012,6000,5500,16000,28000,11000,26000,Presence
Honda,City,2015,10000,9000,20000,35000,15000,32000,Presence
Maruti,Swift,2018,12000,10000,22000,38000,18000,35000,Presence
Hyundai,Venue,2020,15000,12000,25000,40000,20000,38000,Presence
Tata,Harrier,2022,18000,15000,28000,45000,23000,42000,Presence
Honda,Civic,2010,9000,8000,19000,33000,14000,30000,Presence
Maruti,BaleAbsence,2014,11000,9500,21000,36000,17000,33000,Presence
Hyundai,Creta,2017,13000,11000,23000,37000,19000,36000,Presence
Tata,Altroz,2019,16000,13000,26000,41000,22000,40000,Presence
Honda,Amaze,2021,20000,17000,30000,46000,25000,45000,Presence
Maruti,Dzire,2011,10000,8500,20000,34000,14000,31000,Presence
Hyundai,Santro,2013,12000,9500,22000,36000,17000,33000,Presence
Tata,Tigor,2016,14000,11500,24000,38000,20000,36000,Presence
Honda,CR-V,2019,17000,14000,28000,43000,24000,41000,Presence
Maruti,Wagon R,2023,22000,19000,33000,48000,27000,46000,Presence
Hyundai,Grand i10,2018,18000,15000,28000,43000,23000,40000,Presence
Tata,Safari,2012,14000,12000,24000,38000,20000,36000,Presence
Maruti,Suzuki Alto,2008,5000,5000,15000,30000,10000,20000,Absence
Hyundai,i10,2010,8000,8000,18000,35000,12000,22000,Absence
Tata,NaAbsence,2012,6000,6000,16000,32000,11000,21000,Absence
Honda,City,2014,10000,10000,20000,40000,15000,25000,Absence
Ford,Figo,2016,12000,12000,22000,45000,18000,28000,Absence
Maruti,Suzuki Swift,2018,15000,15000,25000,50000,20000,30000,Absence
Hyundai,Creta,2020,18000,18000,28000,55000,22000,35000,Absence
Tata,Harrier,2022,20000,20000,30000,60000,25000,40000,Absence
Maruti,Suzuki BaleAbsence,2023,22000,22000,35000,65000,28000,45000,Presence
Maruti,Swift,2010,5000,5000,15000,25000,10000,30000,Presence
Hyundai,i20,2012,8000,7000,18000,30000,12000,35000,Presence
Tata,Harrier,2019,12000,10000,20000,35000,15000,40000,Presence
Honda,City,2015,6000,5500,16000,27000,11000,32000,Presence
Mahindra,Scorpio,2011,10000,8000,17000,28000,13000,37000,Presence
Maruti,BaleAbsence,2018,15000,12000,22000,40000,18000,45000,Presence
Hyundai,Creta,2019,45000,3300,33000,65000,8000,85000,Absence
Honda,Amaze,2018,36000,6500,31000,48000,26000,50000,Presence
Ford,Fiesta,2015,45000,6200,29000,42000,24000,49000,Presence
Mahindra,KUV100,2020,8000,4500,35000,85000,5000,105000,Absence
Maruti Suzuki,Alto K10,2018,30000,5500,28000,42000,23000,46000,Absence
Tata,Nexon,2021,5000,4000,30000,80000,1000,100000,Absence
Hyundai,Venue,2019,41000,3100,31000,60000,6000,80000,Absence
Volkswagen,Golf,2020,22000,4600,23000,35000,19000,42000,Presence
Maruti Suzuki,S-Presso,2022,3000,3500,25000,75000,500,95000,Presence
Mahindra,KUV100 NXT,2020,21000,4900,24000,37000,20000,42000,Presence
Hyundai,Xcent,2015,45000,7000,60000,110000,30000,130000,Absence
Maruti Suzuki,Swift,2021,20000,4800,25000,39000,20000,42000,Presence
Hyundai,i20,2014,42000,6800,33000,51000,27000,52000,Presence
Mahindra,Xylo D2 MAXX,2018,30000,5400,27000,41000,22000,44000,Absence
Hyundai,Venue,2015,45000,7000,60000,110000,30000,130000,Presence
Hyundai,Creta,2017,45000,5700,23000,35000,20000,42000,Presence
Mahindra,KUV100 NXT,2019,26000,5300,27000,41000,22000,45000,Presence
Maruti Suzuki,Swift,2011,62000,9000,58000,84000,52000,91000,Presence
Mahindra,XUV300,2016,56000,5700,47000,90000,22000,110000,Presence
Hyundai,Venue,2020,21000,4800,24000,36000,20000,43000,Presence
Tata,Hexa,2019,28000,5400,27000,41000,22000,44000,Absence
Volkswagen,Polo,2016,48000,7200,35000,54000,29000,54000,Presence
Tata,Altroz,2020,19000,4700,24000,38000,20000,41000,Presence
Hyundai,i20 Active,2017,32000,5700,28000,42000,23000,46000,Absence
Maserati,Ghibli,2013,42000,6500,29000,44000,23000,46000,Presence
Volkswagen,Polo,2011,42000,5500,27000,39000,22000,45000,Presence
Toyota,Etios Liva,2016,25000,5200,26000,39000,21000,43000,Presence
Hyundai,Venue,2019,40000,3500,30000,85000,5000,105000,Presence
Maruti Suzuki,BaleAbsence,2014,55000,7500,65000,115000,35000,135000,Presence
Maruti Suzuki,S-Presso,2020,15000,4700,21000,33000,18000,39000,Presence
Hyundai,Santro,2018,32000,5600,28000,42000,23000,45000,Absence
Maruti Suzuki,Celerio,2021,19000,4700,24000,38000,20000,41000,Presence
Tata,Tiago,2017,50000,4500,40000,95000,15000,115000,Presence
Mahindra,Scorpio,2020,35000,4000,30000,80000,1000,100000,Absence
Mahindra,KUV100,2016,49000,3800,38000,74000,14000,94000,Absence
Mahindra,Thar,2020,42000,3000,30000,60000,6000,80000,Presence
Tata,Tigor,2017,50000,5500,45000,95000,15000,115000,Absence
Hyundai,i20,2013,52000,7200,36000,53000,31000,58000,Presence
Nissan,TerraAbsence,2014,48000,6200,31000,47000,29000,56000,Presence
Renault,Kwid,2016,48000,7200,33000,50000,28000,54000,Presence
Nissan,Micra,2015,38000,6500,32000,49000,27000,52000,Presence
Tata,Tigor,2017,51000,3900,39000,75000,15000,95000,Presence
Maruti Suzuki,BaleAbsence,2014,58000,4700,47000,89000,23000,109000,Absence
Maruti,Suzuki Swift,2008,15000,5000,7000,10000,12000,14000,Presence
Hyundai,i20,2009,18000,6000,8000,11000,13000,16000,Absence
Tata,Indica,2010,21000,7000,9000,12000,14000,18000,Presence
Mahindra,Scorpio,2011,24000,8000,10000,13000,15000,20000,Absence
Toyota,InAbsenceva,2012,27000,9000,11000,14000,16000,22000,Presence
Honda,City,2013,30000,10000,12000,15000,17000,24000,Absence
Ford,EcoSport,2014,33000,11000,13000,16000,18000,26000,Presence
Renault,Duster,2015,36000,12000,14000,17000,19000,28000,Absence
Volkswagen,Polo,2016,39000,13000,15000,18000,20000,30000,Presence
Skoda,Rapid,2017,42000,14000,16000,19000,21000,32000,Absence
Nissan,Micra,2018,45000,15000,17000,20000,22000,34000,Presence
Kia,Seltos,2019,48000,16000,18000,21000,23000,36000,Absence
MG,Hector,2020,51000,17000,19000,22000,24000,38000,Presence
Hyundai,Creta,2021,54000,18000,20000,23000,25000,40000,Absence
Maruti,BaleAbsence,2022,57000,19000,21000,24000,26000,42000,Presence
Tata,Altroz,2023,60000,20000,22000,25000,27000,44000,Absence
Hyundai,Verna,2008,15000,5000,7000,10000,12000,14000,Presence
Tata,Nexon,2009,18000,6000,8000,11000,13000,16000,Absence
Mahindra,XUV500,2010,21000,7000,9000,12000,14000,18000,Presence
Toyota,Fortuner,2011,24000,8000,10000,13000,15000,20000,Absence
Honda,Amaze,2012,27000,9000,11000,14000,16000,22000,Presence
Ford,Figo,2013,30000,10000,12000,15000,17000,24000,Absence
Renault,Kwid,2014,33000,11000,13000,16000,18000,26000,Presence
Volkswagen,Vento,2015,36000,12000,14000,17000,19000,28000,Absence
Skoda,Octavia,2016,39000,13000,15000,18000,20000,30000,Presence
Nissan,TerraAbsence,2017,42000,14000,16000,19000,21000,32000,Absence
Kia,Carnival,2018,45000,15000,17000,20000,22000,34000,Presence
MG,ZS EV,2019,48000,16000,18000,21000,23000,36000,Absence
Hyundai,Venue,2020,51000,17000,19000,22000,24000,38000,Presence
Maruti,Vitara Brezza,2021,54000,18000,20000,23000,25000,40000,Absence
Tata,Harrier,2022,57000,19000,21000,24000,26000,42000,Presence
Mahindra,Thar,2023,60000,20000,22000,25000,27000,44000,Absence
Toyota,Etios,2008,15000,5000,7000,10000,12000,14000,Presence
Mahindra,Bolero,2009,18000,6000,8000,11000,13000,16000,Absence
Honda,WR-V,2010,21000,7000,9000,12000,14000,18000,Presence
Ford,Endeavour,2011,24000,8000,10000,13000,15000,20000,Absence
Renault,Triber,2012,27000,9000,11000,14000,16000,22000,Presence
Volkswagen,Ameo,2013,30000,10000,12000,15000,17000,24000,Absence
Skoda,Superb,2014,33000,11000,13000,16000,18000,26000,Presence
Nissan,Kicks,2015,36000,12000,14000,17000,19000,28000,Absence
Kia,Sonnet,2016,39000,13000,15000,18000,20000,30000,Presence
MG,Astor,2017,42000,14000,16000,19000,21000,32000,Absence
Hyundai,Elantra,2018,45000,15000,17000,20000,22000,34000,Presence
Maruti,Ciaz,2019,48000,16000,18000,21000,23000,36000,Absence
Tata,Safari,2020,51000,17000,19000,22000,24000,38000,Presence
Mahindra,XUV300,2021,54000,18000,20000,23000,25000,40000,Absence
Toyota,Yaris,2022,57000,19000,21000,24000,26000,42000,Presence
Honda,Jazz,2023,60000,20000,22000,25000,27000,44000,Absence
Renault,Captur,2008,15000,5000,7000,10000,12000,14000,Presence
Volkswagen,Passat,2009,18000,6000,8000,11000,13000,16000,Absence
Skoda,Kodiaq,2010,21000,7000,9000,12000,14000,18000,Presence
Nissan,Sunny,2011,24000,8000,10000,13000,15000,20000,Absence
Kia,Rio,2012,27000,9000,11000,14000,16000,22000,Presence
MG,Gloster,2013,30000,10000,12000,15000,17000,24000,Absence
Hyundai,Tucson,2014,33000,11000,13000,16000,18000,26000,Presence
Maruti,Ertiga,2015,36000,12000,14000,17000,19000,28000,Absence
Tata,Tigor,2016,39000,13000,15000,18000,20000,30000,Presence
Mahindra,Marazzo,2017,42000,14000,16000,19000,21000,32000,Absence
Toyota,Corolla,2018,45000,15000,17000,20000,22000,34000,Presence
Honda,BRV,2019,48000,16000,18000,21000,23000,36000,Absence
Maruti,Swift,2008,15000,5000,7000,10000,12000,14000,Presence
Tata,Indica,2009,18000,6000,8000,11000,13000,16000,Absence
Mahindra,Scorpio,2010,21000,7000,9000,12000,14000,18000,Presence
Maruti,BaleAbsence,2011,24000,8000,10000,13000,15000,20000,Absence
Tata,Nexon,2012,27000,9000,11000,14000,16000,22000,Presence
Mahindra,XUV500,2013,30000,10000,12000,15000,17000,24000,Absence
Maruti,Vitara Brezza,2014,33000,11000,13000,16000,18000,26000,Presence
Tata,Harrier,2015,36000,12000,14000,17000,19000,28000,Absence
Mahindra,Thar,2016,39000,13000,15000,18000,20000,30000,Presence
Maruti,Ertiga,2017,42000,14000,16000,19000,21000,32000,Absence
Tata,Altroz,2018,45000,15000,17000,20000,22000,34000,Presence
Mahindra,XUV300,2019,48000,16000,18000,21000,23000,36000,Absence
Maruti,S-Presso,2020,51000,17000,19000,22000,24000,38000,Presence
Tata,Tigor,2021,54000,18000,20000,23000,25000,40000,Absence
Mahindra,Alturas G4,2022,57000,19000,21000,24000,26000,42000,Presence
Maruti,Ignis,2023,60000,20000,22000,25000,27000,44000,Absence
Maruti,Swift,2008,15000,5000,7000,10000,12000,14000,Absence
Tata,Indica,2009,18000,6000,8000,11000,13000,16000,Presence
Mahindra,Scorpio,2010,21000,7000,9000,12000,14000,18000,Absence
Maruti,BaleAbsence,2011,24000,8000,10000,13000,15000,20000,Presence
Tata,Nexon,2012,27000,9000,11000,14000,16000,22000,Absence
Mahindra,XUV500,2013,30000,10000,12000,15000,17000,24000,Presence
Maruti,Vitara Brezza,2014,33000,11000,13000,16000,18000,26000,Absence
Tata,Harrier,2015,36000,12000,14000,17000,19000,28000,Presence
Mahindra,Thar,2016,39000,13000,15000,18000,20000,30000,Absence
Maruti,Ertiga,2017,42000,14000,16000,19000,21000,32000,Presence
Tata,Altroz,2018,45000,15000,17000,20000,22000,34000,Absence
Mahindra,XUV300,2019,48000,16000,18000,21000,23000,36000,Presence
Maruti,S-Presso,2020,51000,17000,19000,22000,24000,38000,Absence
Tata,Tigor,2021,54000,18000,20000,23000,25000,40000,Presence
Mahindra,Alturas G4,2022,57000,19000,21000,24000,26000,42000,Absence
Maruti,Ignis,2023,60000,20000,22000,25000,27000,44000,Presence
Tata,Safari,2008,15000,5000,7000,10000,12000,14000,Absence
Mahindra,Verito,2009,18000,6000,8000,11000,13000,16000,Presence
Maruti,Celerio,2010,21000,7000,9000,12000,14000,18000,Absence
Tata,Tiago,2011,24000,8000,10000,13000,15000,20000,Presence
Mahindra,TUV300,2012,27000,9000,11000,14000,16000,22000,Absence
Maruti,Alto,2013,30000,10000,12000,15000,17000,24000,Presence
Tata,NaAbsence,2014,33000,11000,13000,16000,18000,26000,Absence
Mahindra,KUV100,2015,36000,12000,14000,17000,19000,28000,Presence
Maruti,WagonR,2016,39000,13000,15000,18000,20000,30000,Absence
Tata,Sumo,2017,42000,14000,16000,19000,21000,32000,Presence
Mahindra,Bolero,2018,45000,15000,17000,20000,22000,34000,Absence
Maruti,Eeco,2019,48000,16000,18000,21000,23000,36000,Presence
Tata,Zest,2020,51000,17000,19000,22000,24000,38000,Absence
Mahindra,Xylo,2021,54000,18000,20000,23000,25000,40000,Presence
Maruti,Omni,2022,57000,19000,21000,24000,26000,42000,Absence
Tata,Indigo,2023,60000,20000,22000,25000,27000,44000,Presence
Mahindra,Verito Vibe,2008,15000,5000,7000,10000,12000,14000,Absence
Maruti,Ritz,2009,18000,6000,8000,11000,13000,16000,Presence
Tata,Manza,2010,21000,7000,9000,12000,14000,18000,Absence
Mahindra,Quanto,2011,24000,8000,10000,13000,15000,20000,Presence
Maruti,A-Star,2012,27000,9000,11000,14000,16000,22000,Absence
Tata,Vista,2013,30000,10000,12000,15000,17000,24000,Presence
Mahindra,Xylo,2014,33000,11000,13000,16000,18000,26000,Absence
Maruti,Estilo,2015,36000,12000,14000,17000,19000,28000,Presence
Tata,Indigo eCS,2016,39000,13000,15000,18000,20000,30000,Absence
Mahindra,TUV300 Plus,2017,42000,14000,16000,19000,21000,32000,Presence
Maruti,Zen Estilo,2018,45000,15000,17000,20000,22000,34000,Absence
Tata,Sumo Gold,2019,48000,16000,18000,21000,23000,36000,Presence
Mahindra,Verito,2020,51000,17000,19000,22000,24000,38000,Absence
Maruti,Versa,2021,54000,18000,20000,23000,25000,40000,Presence
Tata,Safari Storme,2022,57000,19000,21000,24000,26000,42000,Absence
Mahindra,Bolero Power Plus,2023,60000,20000,22000,25000,27000,44000,Presence
Tata,Indigo Manza,2008,15000,5000,7000,10000,12000,14000,Absence
Mahindra,Quanto,2009,18000,6000,8000,11000,13000,16000,Presence
Maruti,Estilo,2010,21000,7000,9000,12000,14000,18000,Absence
Tata,Sumo Gold,2011,24000,8000,10000,13000,15000,20000,Presence
Mahindra,Bolero Power Plus,2012,27000,9000,11000,14000,16000,22000,Absence
Maruti,Ritz,2013,30000,10000,12000,15000,17000,24000,Presence
Tata,Indigo eCS,2014,33000,11000,13000,16000,18000,26000,Absence
Mahindra,Verito Vibe,2015,36000,12000,14000,17000,19000,28000,Presence
Maruti,A-Star,2016,39000,13000,15000,18000,20000,30000,Absence
