Car_Make,Car_Model,Year,Kms_Driven,Engine_Oil_Change,Brake_Pad_Change,Transmission_Fluid_Change,Tire_Rotation,Spark_Plug_Change,Maintenance_Required
Hyundai,Creta,2019,45000,3300,33000,65000,8000,85000,Absence
Honda,Amaze,2018,36000,6500,31000,48000,26000,50000,Presence
Ford,Fiesta,2015,45000,6200,29000,42000,24000,49000,Presence
Mahindra,KUV100,2020,8000,4500,35000,85000,5000,105000,Absence
Maruti Suzuki,Alto K10,2018,30000,5500,28000,42000,23000,46000,Absence
Tata,Nexon,2021,5000,4000,30000,80000,1000,100000,Absence
Hyundai,Venue,2019,41000,3100,31000,60000,6000,80000,Absence
Volkswagen,Golf,2020,22000,4600,23000,35000,19000,42000,Presence
Maruti Suzuki,S-Presso,2022,3000,3500,25000,75000,500,95000,Presence
Mahindra,KUV100 NXT,2020,21000,4900,24000,37000,20000,42000,Presence
Hyundai,Xcent,2015,45000,7000,60000,110000,30000,130000,Absence
Maruti Suzuki,Swift,2021,20000,4800,25000,39000,20000,42000,Presence
Hyundai,i20,2014,42000,6800,33000,51000,27000,52000,Presence
Mahindra,Xylo D2 MAXX,2018,30000,5400,27000,41000,22000,44000,Absence
Hyundai,Venue,2015,45000,7000,60000,110000,30000,130000,Presence
Hyundai,Creta,2017,45000,5700,23000,35000,20000,42000,Presence
Mahindra,KUV100 NXT,2019,26000,5300,27000,41000,22000,45000,Presence
Maruti Suzuki,Swift,2011,62000,9000,58000,84000,52000,91000,Presence
Mahindra,XUV300,2016,56000,5700,47000,90000,22000,110000,Presence
Hyundai,Venue,2020,21000,4800,24000,36000,20000,43000,Presence
Tata,Hexa,2019,28000,5400,27000,41000,22000,44000,Absence
Volkswagen,Polo,2016,48000,7200,35000,54000,29000,54000,Presence
Tata,Altroz,2020,19000,4700,24000,38000,20000,41000,Presence
Hyundai,i20 Active,2017,32000,5700,28000,42000,23000,46000,Absence
Maserati,Ghibli,2013,42000,6500,29000,44000,23000,46000,Presence
Volkswagen,Polo,2011,42000,5500,27000,39000,22000,45000,Presence
Toyota,Etios Liva,2016,25000,5200,26000,39000,21000,43000,Presence
Hyundai,Venue,2019,40000,3500,30000,85000,5000,105000,Presence
Maruti Suzuki,Baleno,2014,55000,7500,65000,115000,35000,135000,Presence
Maruti Suzuki,S-Presso,2020,15000,4700,21000,33000,18000,39000,Presence
Hyundai,Santro,2018,32000,5600,28000,42000,23000,45000,Absence
Maruti Suzuki,Celerio,2021,19000,4700,24000,38000,20000,41000,Presence
Tata,Tiago,2017,50000,4500,40000,95000,15000,115000,Presence
Mahindra,Scorpio,2020,35000,4000,30000,80000,1000,100000,Absence
Mahindra,KUV100,2016,49000,3800,38000,74000,14000,94000,Absence
Mahindra,Thar,2020,42000,3000,30000,60000,6000,80000,Presence
Tata,Tigor,2017,50000,5500,45000,95000,15000,115000,Absence
Hyundai,i20,2013,52000,7200,36000,53000,31000,58000,Presence
Nissan,Terrano,2014,48000,6200,31000,47000,29000,56000,Presence
Renault,Kwid,2016,48000,7200,33000,50000,28000,54000,Presence
Nissan,Micra,2015,38000,6500,32000,49000,27000,52000,Presence
Tata,Tigor,2017,51000,3900,39000,75000,15000,95000,Presence
Maruti Suzuki,Baleno,2014,58000,4700,47000,89000,23000,109000,Absence
Audi,A6,2015,40000,6200,28000,43000,24000,47000,Presence
Mahindra,TUV300,2016,35000,6500,55000,105000,25000,125000,Absence
Renault,Pulse,2015,32000,5200,25000,38000,21000,43000,Presence
Hyundai,Aura,2020,22000,5100,26000,40000,21000,43000,Absence
Tata,Tiago,2021,10000,4000,17000,28000,14000,41000,Absence
Maruti Suzuki,Celerio,2014,65000,7000,60000,110000,30000,130000,Absence
Mahindra,Verito,2012,64000,5300,53000,99000,29000,119000,Presence
Tata,Harrier,2019,15000,5500,35000,75000,15000,95000,Absence
Mahindra,Scorpio,2019,25000,5200,27000,41000,22000,45000,Absence
Hyundai,i20,2013,52000,7200,34000,51000,29000,55000,Presence
BMW,7 Series,2016,28000,6000,26000,41000,22000,44000,Presence
Mahindra,Scorpio,2014,45000,6000,28000,42000,23000,46000,Presence
Mahindra,Scorpio,2012,68000,6900,59000,110000,34000,130000,Presence
Ford,Aspire,2017,42000,6200,27000,40000,22000,45000,Presence
Mahindra,XUV500,2013,35000,5600,27000,39000,22000,45000,Presence
Tata,Indigo eCS,2013,65000,8000,70000,120000,40000,140000,Absence
Mahindra,Verito,2014,52000,7000,36000,52000,30000,58000,Presence
Maruti Suzuki,Wagon R,2019,27000,5400,27000,41000,22000,45000,Absence
Toyota,Etios,2016,32000,5400,26000,39000,21000,43000,Presence
Tata,Tiago,2013,58000,4700,47000,89000,23000,109000,Absence
Maruti Suzuki,Celerio,2022,38000,3900,29000,60000,4000,80000,Presence
Tata,Altroz,2013,65000,8000,70000,120000,40000,140000,Presence
Hyundai,Eon,2011,85000,9000,80000,130000,50000,150000,Absence
Tata,Tigor,2017,46000,3500,35000,69000,11000,89000,Absence
Mahindra,Bolero,2012,75000,7000,65000,120000,40000,140000,Presence
Hyundai,i20 Active,2019,27000,5400,28000,42000,23000,46000,Presence
Mahindra,XUV300,2012,75000,8500,75000,125000,45000,145000,Presence
Maruti Suzuki,Vitara Brezza,2019,25000,5200,26000,40000,21000,43000,Absence
Maruti Suzuki,Swift Dzire,2018,46000,3500,35000,69000,11000,89000,Presence
Tata,Altroz,2021,37000,2600,26000,54000,2000,74000,Absence
