Car_Make,Car_Model,Year,Kms_Driven,Engine_Oil_Change,Brake_Pad_Change,Transmission_Fluid_Change,Tire_Rotation,Spark_Plug_Change,Maintenance_Required
Maruti,i20Active,2020,24624,12159,28288,22924,15438,21592,Absence
Hyundai,i20Active,2020,29493,4448,22148,23945,34746,38347,Absence
Tata,Carnival,2019,5512,10908,28096,48221,23269,27282,Presence
Ford,Creta,2020,31971,8770,23909,24916,18510,83727,Presence
Maruti,Amaze,2021,29037,103978,24611,161051,40708,96194,Absence
Toyota,i20Active,2021,12780,12973,22846,45369,14499,16962,Presence
Hyundai,Amaze,2020,41509,12229,53099,135558,17301,81307,Presence
Maserati,Amaze,2023,230589,93852,135976,28751,154707,103551,Absence
Kia,NaAbsence,2014,172109,11180,135853,149216,132921,232696,Presence
Maruti,Carnival,2023,41661,9849,13244,44601,18637,29683,Absence
MarutiSuzuki,Amaze,2017,190044,151000,81348,99613,158493,91281,Presence
Skoda,Carnival,2012,98601,88840,49988,167415,174868,81359,Presence
Skoda,i20Active,2020,54719,11250,28146,51549,22111,34321,Absence
Honda,Carnival,2017,25222,13011,71054,89765,57217,106302,Presence
Renault,Creta,2023,193820,151000,150725,145351,153975,76866,Absence
Rolls-Royce,Amaze,2018,115037,92622,110033,100864,33200,99797,Presence
Tata,Amaze,2013,11604,151000,83052,165550,143209,215839,Presence
Renault,Polo,2020,25093,19805,19538,51563,20831,10802,Presence
Maruti,S60,2018,33703,11403,53588,80739,22571,84510,Absence
Maruti,Carnival,2019,13670,9746,28939,31123,21647,32196,Presence
MarutiSuzuki,Polo,2022,44036,26370,19231,28375,24476,20057,Absence
Ford,EtiosLiva,2019,5801,10824,28562,33645,26528,19926,Presence
Hyundai,WR-V,2013,14292,11689,28218,22854,25811,24271,Absence
Maruti,City,2015,3000,10228,27180,97350,26148,30634,Absence
Honda,Carnival,2020,10706,12221,28028,25364,20888,38183,Absence
Toyota,NaAbsence,2016,5085,136108,74826,112253,157171,214211,Presence
Maruti,Triber,2015,8079,10343,36018,21088,19690,36954,Presence
Maruti,Carnival,2020,7214,10000,32932,51940,22278,47354,Absence
Maruti,A4,2020,20835,21602,26025,27563,19793,36068,Absence
MarutiSuzuki,Creta,2021,36050,9553,32225,19093,27931,17112,Presence
Maruti,Creta,2023,234434,77564,74797,95777,136137,75945,Absence
Ford,EtiosLiva,2018,33085,7977,29471,21900,17220,20586,Presence
Maruti,EtiosLiva,2019,3000,10810,20656,37512,25512,39867,Absence
Honda,Magnite,2019,3000,10203,28057,36199,24743,31599,Presence
Ford,Carnival,2015,25201,120316,126302,61778,25888,88471,Presence
Toyota,Carnival,2012,24896,10653,18733,30712,25240,37542,Presence
Maruti,Carnival,2016,13227,10005,24509,41406,23714,24891,Absence
Tata,Triber,2011,5129,8972,53070,102203,19420,40150,Absence
Maruti,i20Active,2021,4688,19383,62368,51869,14998,10000,Presence
Mahindra,Venue,2023,24923,10827,22711,37005,18481,22000,Absence
Volvo,Carnival,2019,16771,11195,24930,33406,23650,23787,Absence
Maruti,EtiosLiva,2020,14969,10046,29003,45463,25920,25259,Absence
Hyundai,i20Active,2020,4491,13294,13622,27474,21444,21014,Absence
Maruti,Huracan,2021,18880,11654,16607,27458,23222,15090,Absence
Maruti,EtiosLiva,2023,39824,10927,36630,26530,28785,25097,Presence
Maruti,Carnival,2016,3228,11981,20220,22157,23910,26267,Presence
Mahindra,Fortuner,2023,90842,91604,147078,141391,131980,76447,Absence
Mahindra,Carnival,2019,3000,12815,27107,49852,23856,57373,Presence
Tata,Creta,2020,62794,9981,129156,170210,151903,70340,Presence
