Car_Make,Car_Model,Year,Kms_Driven,Engine_Oil_Change,Brake_Pad_Change,Transmission_Fluid_Change,Tire_Rotation,Spark_Plug_Change,Maintenance_Required
Hyundai,Polo,2009,55000,Yes,No,No,Yes,Yes,No
Audi,Nexon,2016,35000,Yes,No,No,Yes,No,Yes
Kia,City,2009,65000,No,Yes,No,Yes,No,Yes
Toyota,Innova,2009,15000,Yes,No,Yes,No,Yes,No
Kia,Amaze,2009,30000,No,Yes,No,Yes,Yes,Yes
Ford,Fortuner,2009,25000,Yes,No,No,No,Yes,No
Kia,Duster,2009,30000,No,Yes,Yes,Yes,No,Yes
Nissan,Compass,2009,30000,No,Yes,No,Yes,Yes,Yes
Honda,XUV500,2009,30000,No,Yes,No,Yes,No,Yes
Honda,Thar,2009,20000,No,Yes,No,Yes,No,Yes
Audi,City,2009,45000,Yes,Yes,No,Yes,Yes,No
Tata,Harrier,2009,30000,Yes,Yes,No,Yes,Yes,Yes
Maruti,Polo,2009,25000,No,No,No,Yes,Yes,Yes
Ford,i20,2009,10000,No,Yes,Yes,Yes,No,Yes
Tata,Hector,2009,10000,No,Yes,No,Yes,Yes,No
Honda,EcoSport,2009,30000,No,Yes,No,Yes,No,Yes
Volkswagen,City,2009,55000,Yes,Yes,Yes,No,Yes,No
Renault,Duster,2009,20000,No,Yes,No,No,No,Yes
Honda,XUV500,2009,30000,No,Yes,Yes,No,Yes,Yes
Tata,Micra,2009,70000,Yes,No,Yes,Yes,Yes,No
Hyundai,3 Series,2009,30000,No,Yes,Yes,No,Yes,Yes
Hyundai,Hector,2009,65000,Yes,No,Yes,No,Yes,No
BMW,Seltos,2009,20000,No,Yes,Yes,No,Yes,Yes
Mahindra,Hector,2009,45000,No,No,Yes,Yes,No,Yes
Tata,Fortuner,2009,15000,Yes,No,No,Yes,Yes,No
Toyota,Baleno,2009,25000,Yes,No,Yes,No,Yes,No
Jeep,Baleno,2009,65000,No,Yes,Yes,No,No,Yes
Jeep,XUV500,2009,20000,No,Yes,No,Yes,Yes,Yes
Toyota,Fortuner,2009,55000,Yes,No,No,Yes,Yes,No
Honda,Micra,2009,25000,Yes,Yes,Yes,No,Yes,Yes
Volkswagen,Nexon,2009,35000,Yes,No,Yes,No,Yes,No
Skoda,3 Series,2009,20000,No,Yes,Yes,No,Yes,Yes
Jeep,Hector,2021,25000,Yes,No,Yes,No,Yes,No
